"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"NoFish","1",1,0.2625933,0,0.2625933,0.773374525,1,1,1,0,0,0,0,0.239712762,0,0,0,0,0,0,0,0,0,0,0,"simRec2016"
"cap.5_hstAl_am10","2",0.996769761,0.2625933,0.32445753,-0.06186423,0.262488156,0.421994057,0.676912141,0.152941827,2.545023434,1.989686002,3.398467088,13.878076414,0.239712762,3.396769761,237.577826038,194.192915016,30.17013539,6.269267334,7.981537576,23.080893748,18198.299863607,18364.371548659,17214.676290732,0.0665,"simRec2016"
"cap.5_hstAl_am5","3",0.996769761,0.2625933,0.324478326,-0.061885026,0.262488156,0.408310916,0.666788304,0.136625475,2.611649576,2.032381329,3.398467088,13.767454213,0.239712762,3.396769761,242.399529473,202.742865228,27.63832276,6.427467473,8.347648353,20.739859958,18193.976667479,18363.354109143,17195.348704518,0.0728,"simRec2016"
"cap.5_rctAl_am10","4",0.996769761,0.2625933,0.329549511,-0.066956211,0.262488156,0.423691384,0.670574993,0.17658439,2.516720761,1.956331184,3.396769761,14.025287296,0.239712762,3.396769761,234.170505706,189.551396685,32.404841186,6.154051281,7.779963579,24.840449588,18200.561369757,18365.13477975,17225.385275672,0.0654,"simRec2016"
"cap.5_rctAl_am5","5",0.996769761,0.2625933,0.330959093,-0.068365793,0.259401536,0.401561444,0.662704426,0.158302006,2.557986724,1.977637725,3.398467088,14.002313067,0.239712762,3.396769761,237.33165101,194.906168999,31.136437255,6.253784332,8.007771683,23.457287107,18197.822586232,18364.558819688,17219.665218242,0.0712,"simRec2016"
"cap1.0_hstAl_am10","6",0.996769761,0.2625933,0.337583479,-0.074990179,0.260955244,0.422137676,0.675502559,0.169834918,2.530239994,1.998894244,3.398467088,13.906080063,0.239712762,3.396769761,234.014657936,191.592651653,32.385457996,6.150944372,7.859983868,24.859080584,18200.199806155,18365.217298158,17224.261480043,0.0636,"simRec2016"
"cap1.0_hstAl_am5","7",0.996769761,0.2625933,0.343798311,-0.081205011,0.257704209,0.400008243,0.650286741,0.146604679,2.588707082,2.020263483,3.398467088,13.747696209,0.239712762,3.396769761,237.454335948,199.600444228,31.072704252,6.26237475,8.197648353,23.47792522,18197.205500172,18364.192640141,17217.336351329,0.068,"simRec2016"
"cap1.0_rctAl_am10","8",0.996769761,0.2625933,0.339301602,-0.076708302,0.259257917,0.417354236,0.670574993,0.189814629,2.488686286,1.954213338,3.396769761,14.19238182,0.239712762,3.396769761,229.640585749,185.77777697,35.127780301,6.007261231,7.606403768,27.077416202,18202.895919714,18366.194426285,17231.353067467,0.0624,"simRec2016"
"cap1.0_rctAl_am5","9",0.996769761,0.2625933,0.337604782,-0.075011482,0.257704209,0.412694126,0.653949593,0.179834918,2.493470233,1.94007753,3.396769761,14.250975818,0.239712762,3.396769761,228.711393907,187.586009058,35.38344476,5.979350593,7.678533708,26.975436972,18202.563192829,18365.991751939,17231.992556002,0.0651,"simRec2016"
"cap1.5_hstAl_am10","10",0.996769761,0.2625933,0.336071363,-0.073478063,0.260955244,0.426942419,0.676912648,0.188281717,2.498686286,1.980262741,3.396769761,13.282553543,0.239712762,3.396769761,231.737577588,187.272574927,33.916116793,6.070924083,7.674870856,26.122462837,18201.76477053,18365.968195352,17228.455328325,0.0613,"simRec2016"
"cap1.5_hstAl_am5","11",0.996769761,0.2625933,0.350443493,-0.087850193,0.257704209,0.410996799,0.655503301,0.168281717,2.541772906,2.007465115,3.398467088,13.52313433,0.239712762,3.396769761,234.253147876,192.051399395,33.500196682,6.147693844,7.874644485,25.503107494,18200.078310697,18365.334984883,17225.069369968,0.0638,"simRec2016"
"cap1.5_rctAl_am10","12",0.996769761,0.2625933,0.331431542,-0.068838242,0.260790829,0.425265381,0.680163176,0.199814629,2.46388205,1.954758201,3.396769761,13.567320529,0.239712762,3.396769761,227.621209362,183.849070812,35.310901537,5.947940504,7.523440478,27.327369155,18203.496113915,18366.499561588,17233.007515833,0.0603,"simRec2016"
"cap1.5_rctAl_am5","13",0.996769761,0.2625933,0.33776869,-0.07517539,0.257704209,0.41255,0.668877666,0.188281717,2.47866549,1.953780725,3.396769761,14.124797476,0.239712762,3.396769761,227.167893819,185.779971277,35.854834343,5.929329797,7.598512912,27.614222917,18203.281838909,18366.517672775,17233.364085043,0.0621,"simRec2016"
"NSL","14",0.996769761,0.2625933,0.25190524,0.01068806,0.279257917,0.418599675,0.687848025,0.088219761,2.919724122,2.445445904,3.414536273,10.910754517,0.239712762,3.393106909,269.860880876,216.878316538,38.359189516,0,0,0,18021.448233607,18338.821963976,15864.223316334,0.0738,"simRec2016"
"noCap","15",0.996769761,0.2625933,0.32523852,-0.06264522,0.269257917,0.436530095,0.690554704,0.208261428,2.448706575,1.954097461,3.396769761,13.042572969,0.239712762,3.396769761,227.559744308,181.311641779,34.745631096,5.951191032,7.428780368,27.011688146,18203.525780154,18366.567594807,17233.343610476,0.0582,"simRec2016"
"cap0_am10","16",0.996769761,0.2625933,0.317564439,-0.054971139,0.266151008,0.413115152,0.678465342,0.145071767,2.573367699,1.999747376,3.398467088,13.867699235,0.239712762,3.396769761,242.263545583,196.213187838,27.870698946,6.412250913,8.079304595,21.257223328,18195.676322159,18363.733034756,17197.126840208,0.0699,"simRec2016"
"cap0_am5","17",0.996769761,0.2625933,0.304910432,-0.042317132,0.269401536,0.416653932,0.683228493,0.126645764,2.63150545,2.02126199,3.398467088,13.62626715,0.239712762,3.396769761,248.802838752,204.579355775,23.953584546,6.632004253,8.455847985,17.825190524,18190.307122564,18361.808605685,17148.405172624,0.0783,"simRec2016"
